SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 177 	SB 	Taylor Van 	Relating to unit operations for oil gas or oil and gas production from depleting reservoirs or carbon dioxide storage; authorizing a fee. 	['Mines & Mineral Resources (I0536),Oil & Gas (I0545),OIL & GAS MAJORITY RIGHTS PROTECTION ACT FOR SECONDARY & TERTIARY RECOVERY OPERATIONS (P0628),PUBLIC NOTICE (S0264),ROYALTIES (S0398),RAILROAD COMMISSION (V0089)'] 	01/25/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB177 	['none']
SB 178 	SB 	Estes 	Relating to the repeal of the franchise tax. 	['Taxation--Franchise (I0807)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB178 	['HB 1052', 'HB 1196', 'filler']
SB 179 	SB 	Menéndez, Zaffirini 	Relating to student harassment bullying cyberbullying injury to or death of a minor; creating a criminal offense. 	['Civil Remedies & Liabilities (I0065),Education--Primary & Secondary--Discipline (I0244),Minors--Crimes Against (I0532),Minors--Health & Safety (I0533),BULLYING (S0543),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),HARASSMENT (S0058)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB179 	['HB 306', 'filler']
SB 180 	SB 	Menéndez, Zaffirini 	Relating to student harassment bullying and cyberbullying. 	['Civil Remedies & Liabilities (I0065),Education--Primary & Secondary--Charter Schools (I0245),Education--Primary & Secondary--Discipline (I0244),Family--Parent & Child (I0355),BULLYING (S0543),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),HARASSMENT (S0058)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB180 	['HB 305', 'filler']
SB 181 	SB 	Menéndez, Zaffirini 	Relating to civil liability for bullying of a child. 	['Civil Remedies & Liabilities (I0065),Education--Primary & Secondary--General (I0230),Electronic Information Systems (I0311),Minors--Health & Safety (I0533),BULLYING (S0543),EMAIL & ELECTRONIC COMMUNICATIONS (S0321)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB181 	['HB 304', 'filler']
SB 182 	SB 	Menéndez, Zaffirini 	Relating to the availability of certain pre-suit discovery in connection with a claim involving injury to or death of a minor. 	['Civil Remedies & Liabilities (I0065),Courts--Civil Procedure (I0135),Minors--General (I0537),EVIDENCE (S0250),SUBPOENAS (S8341),SUPREME COURT (V0311)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB182 	['HB 116', 'filler']
SB 183 	SB 	Uresti 	Relating to the distribution possession purchase consumption and receipt of cigarettes e-cigarettes and tobacco products; providing penalties. 	['Health--General (I0385),Minors--Health & Safety (I0533),Tobacco Products (I0818)'] 	03/06/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB183 	['none']
SB 184 	SB 	Uresti 	Relating to an exemption from the motor vehicle use tax for motor vehicles brought into this state by certain current or former military personnel. 	['Military & Veterans (I0535),Taxation--Sales (I0800),Vehicles & Traffic--General (I0865)'] 	01/25/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB184 	['none']
SB 185 	SB 	Uresti 	Relating to electronic voter registration. 	['Elections--Registration & Suffrage (I0265),Electronic Information Systems (I0311),SECRETARY OF STATE (V0042)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB185 	['none']
SB 186 	SB 	Uresti 	Relating to automatic voter registration on issuance or change of a driver's license or identification card by the Department of Public Safety. 	["Elections--Registration & Suffrage (I0265),Vehicles & Traffic--Driver's Licenses (I0840),IDENTIFICATION CARDS (S0074),PUBLIC SAFETY DEPARTMENT OF (V0251)"] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB186 	['HB 70', 'SB 231', 'filler']
SB 187 	SB 	Uresti 	Relating to the eligibility of certain persons younger than 18 years of age to preregister to vote. 	['Elections--Registration & Suffrage (I0265),Minors--General (I0537)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB187 	['SB 150', 'filler']
SB 188 	SB 	Uresti 	Relating to civil or criminal liability for transporting in confining in or removing from a motor vehicle certain animals. 	['Animals (I0035),Civil Remedies & Liabilities (I0065),Crimes--Miscellaneous (I0200),Vehicles & Traffic--General (I0865)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB188 	['none']
SB 189 	SB 	Uresti 	Relating to notice of an application for a permit to drill certain injection wells within a certain distance of a groundwater conservation district. 	['Environment--Water (I0320),Oil & Gas (I0545),Special Districts & Authorities--Groundwater Conserve Dist. (I0013),INJECTION WELLS (S0692),PERMITS (S0011),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334),RAILROAD COMMISSION (V0089)'] 	01/25/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB189 	['none']
SB 190 	SB 	Uresti 	Relating to the effective management of caseloads in the investigation of child abuse or neglect reports by the Department of Family and Protective Services. 	['Minors--Health & Safety (I0533),CHILD ABUSE (S4256),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB190 	['none']
SB 191 	SB 	Garcia 	Relating to the ability of a nonexempt employee to participate in certain academic disciplinary college and career readiness and developmental activities of the employee's child or grandchild. 	['Labor--General (I0500),EMPLOYEE BENEFITS & LEAVE (S0452),WORKFORCE COMMISSION TEXAS (V0470)'] 	01/25/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB191 	['none']
SB 192 	SB 	Garcia 	Relating to a comprehensive review by the Texas Education Agency of weights allotments and adjustments under the public school finance system. 	['Education--Primary & Secondary--Finance (I0250),EDUCATION AGENCY TEXAS (V9941)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB192 	['none']
SB 193 	SB 	Garcia 	Relating to Texas community schools. 	['Education--Primary & Secondary--Accountability (I0007),EDUCATION AGENCY TEXAS (V9941),EDUCATION COMMISSIONER OF (V9954)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB193 	['none']
SB 194 	SB 	Garcia 	Relating to the use of seat belts on buses that transport schoolchildren. 	['Education--School Districts (I0220),Minors--Health & Safety (I0533),Vehicles & Traffic--General (I0865),Vehicles & Traffic--Rules of Road (I0860),SCHOOL BUSES & SCHOOL BUS DRIVERS (S1346),SEAT BELTS (S3021)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB194 	['none']
SB 195 	SB 	Garcia 	Relating to funding under the transportation allotment for public school students subject to a high risk of violence while walking to school. 	['Education--Primary & Secondary--Extracurricular Activities (I0247),Education--Primary & Secondary--Finance (I0250),Education--School Districts (I0220),Transportation--Miscellaneous (I0824)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB195 	['none']
SB 196 	SB 	Garcia 	Relating to a notification requirement if a public school including an open-enrollment charter school does not have a nurse school counselor or librarian assigned to the school during all instructional hours. 	['Education--Primary & Secondary--Charter Schools (I0245),Education--Primary & Secondary--Other School Personnel (I0246),Education--School Districts (I0220),Libraries & Librarians (I0523),Minors--Health & Safety (I0533),NURSES & NURSE AIDES (S2704),PARENTAL NOTIFICATION (S0319)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB196 	['none']
SB 197 	SB 	Nichols 	Relating to the authority of general-law municipalities to restrict sex offenders from child safety zones in the municipality. 	['City Government--General (I0060),Crimes--Against Persons--Sexual (I0171),Minors--Crimes Against (I0532),CHILD SAFETY ZONES (S0282),SEXUAL OFFENDERS (S0099)'] 	01/25/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB197 	['HB 387', 'HB 848', 'HB 1339', 'SB 76', 'filler']
SB 198 	SB 	Campbell 	Relating to voting eligibility requirements for members of a metropolitan planning organization policy board. 	['Transportation--Miscellaneous (I0824),METROPOLITAN PLANNING ORGANIZATIONS (S0389)'] 	01/25/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB198 	['none']
SB 199 	SB 	Campbell 	Relating to procedural requirements for adopting and filing a school district budget. 	['Education--Primary & Secondary--Finance (I0250),Education--School Districts (I0220),INTERNET (S0130)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB199 	['none']
SB 200 	SB 	Campbell 	Relating to public access to boundary financial and tax rate information of certain political subdivisions. 	['City Government--Finance (I0062),County Government--Finance (I0097),Electronic Information Systems (I0311),Political Subdivisions (I0588),INTERNET (S0130),COMPTROLLER OF PUBLIC ACCOUNTS (V2608),EDUCATION AGENCY TEXAS (V9941)'] 	03/06/2017 	Left pending in committee 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB200 	['none']
SB 201 	SB 	Campbell 	Relating to ballot propositions authorizing certain political subdivisions to issue debt obligations. 	['City Government--Finance (I0062),County Government--Finance (I0097),Education--Junior College Districts (I0225),Education--School Districts (I0220),Elections--General (I0310),Political Subdivisions (I0588),DEBT (S0116),SECRETARY OF STATE (V0042)'] 	01/25/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB201 	['none']
SB 202 	SB 	West 	Relating to inclusion of instruction regarding interaction with peace officers in the required curriculum for ninth grade public school students and to civilian interaction training for peace officers. 	['Education--Primary & Secondary--Curriculum (I0228),Law Enforcement (I0510),PEACE OFFICERS (S0007),COMMISSION ON LAW ENFORCEMENT TEXAS (V1064),EDUCATION STATE BOARD OF (V0086)'] 	01/25/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB202 	['none']
SB 203 	SB 	West 	Relating to removing the deadline for the Department of Family and Protective Services to enter into permanency care assistance agreements. 	['Family--Child Protection (I0351),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB203 	['HB 511', 'filler']
SB 204 	SB 	West 	Relating to student loan repayment assistance for certain employees of the Department of Family and Protective Services. 	['Education--Higher--Student Financial Aid (I0235),Family--Child Protection (I0351),STUDENT LOANS (S0036),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB204 	['none']
SB 205 	SB 	West 	Relating to eligibility for supplemental financial assistance provided to certain grandparents. 	['Human Services--Direct Assistance (I0900),Vehicles & Traffic--General (I0865),GRANDPARENTS (S0003)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB205 	['HB 3653', 'filler']
SB 206 	SB 	West 	Relating to certain criminal offenses concerning the unlawful transfer or purchase of certain weapons; increasing a criminal penalty. 	['Crimes--Miscellaneous (I0200),Criminal Procedure--Sentencing & Punishment (I0205),Weapons (I0887)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB206 	['HB 4037', 'filler']
SB 207 	SB 	West 	Relating to eligibility for compensation of persons wrongfully imprisoned. 	['Civil Remedies & Liabilities (I0065),Criminal Procedure--General (I0208),WRONGFUL IMPRISONMENT (S0442)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB207 	['HB 1246', 'filler']
SB 208 	SB 	West 	Relating to the regulation of metal recycling entities; providing an administrative penalty; creating a criminal offense. 	['Environment--Recycling (I0336),Occupational Regulation--Other Trades & Professions (I0541),Safety (I0740),SECONDHAND METAL (S0255),PUBLIC SAFETY COMMISSION (V8707),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	01/25/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB208 	['none']
SB 209 	SB 	West 	Relating to the reapportionment of congressional districts and the creation function and duties of the Texas Congressional Redistricting Commission. 	['Redistricting (I0645),CONGRESSIONAL REDISTRICTING COMMISSION TEXAS (V0594),LEGISLATIVE COUNCIL TEXAS (V0001)'] 	01/25/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB209 	['none']
SB 210 	SB 	Kolkhorst 	Relating to the required repeal or amendment of two state agency rules before adoption of a new state agency rule that increases costs to regulated persons. 	["State Agencies Boards & Commissions (I0749),STATE AGENCIES' RULES (S0346)"] 	01/25/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB210 	['HB 4245', 'filler']
SB 211 	SB 	Menéndez 	Relating to the eligibility of a relative or other designated caregiver of a foster child for monetary assistance. 	['Family--Parent & Child (I0355),Human Services--Child Services (I0895),FOSTER CARE (S0064)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB211 	['HB 128', 'filler']
SB 212 	SB 	Menéndez 	Relating to the ability of certain relative caretakers of dependent children to receive supplemental financial assistance and be assigned as protective payees for financial assistance payments. 	['Human Services--Direct Assistance (I0900),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB212 	['HB 132', 'filler']
SB 213 	SB 	Menéndez 	Relating to the office of independent ombudsman for the Department of Family and Protective Services. 	['Family--Child Protection (I0351),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461),INDEPENDENT OMBUDSMAN OFFICE OF--DFPS (V1006)'] 	01/25/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB213 	['HB 951', 'filler']
